img,name,direct,geschlecht,id,href,ageGroup,lastnamefirst,federalState,party,job,office
/blueprint/servlet/resource/image/864868/3x4/108/144/ef048ea4669a1e86502479844622f22a/73DB4B6384B6F1F5ECE8694897FAAF94/cotar_joana_gross.jpg,Joana Cotar,0,weiblich,857234,/abgeordnete/biografien/C/cotar_joana-857234,50 - 54 Jahre,"Cotar, Joana",Hessen,fraktionslos,,<Element p at 0x16eb208c0>
/blueprint/servlet/resource/image/862590/3x4/108/144/e3e3f4cdacbaa8618f2d06ca81c171f6/780CF982BE6584F0351EF1D267AED9E7/merz_friedrich.jpg,Friedrich Merz,1,männlich,861648,/abgeordnete/biografien/M/merz_friedrich-861648,65 - 69 Jahre,"Merz, Friedrich",Nordrhein-Westfalen,CDU/CSU,Rechtsanwalt,<Element p at 0x16eb4cc80>
/blueprint/servlet/resource/image/864902/3x4/108/144/c20e84d3c405c211fcd7b54503f4d953/E747F042BAD96E26790EF474645AEA83/traeger_carsten_gross.jpg,Carsten Träger,0,männlich,858082,/abgeordnete/biografien/T/traeger_carsten-858082,50 - 54 Jahre,"Träger, Carsten",Bayern,SPD,Diplom-Kommunikationswirt (BAW),<Element p at 0x16eb88100>
/blueprint/servlet/resource/image/864524/3x4/108/144/1033bcf4aab712070b655816647f3951/1E5624CC3CF54B2643E62DB993FFB23E/metzler_jan_gross.png,Jan Metzler,1,männlich,857736,/abgeordnete/biografien/M/metzler_jan-857736,40 - 44 Jahre,"Metzler, Jan",Rheinland-Pfalz,CDU/CSU,"Winzer, Diplom-Betriebswirt (FH)",<Element p at 0x170ac7840>
/blueprint/servlet/resource/image/862444/3x4/108/144/8c983caf3c162131761bfb00be02a73a/D04B6509D2C3EC91E3AE91864E220C5F/trasnea_ana-maria.jpg,Ana-Maria Trăsnea,0,weiblich,860422,/abgeordnete/biografien/T/trasnea_ana-860422,30 - 34 Jahre,"Trăsnea, Ana-Maria",Berlin,SPD,Kulturwissenschaftlerin,not found
/blueprint/servlet/resource/image/864522/3x4/108/144/32d32819a53e76fa5b53b4ef3dfd4652/98B67117F83F9A09F58D43DA620D8A2C/Middelberg_Mathias_gross.jpg,Dr. Mathias Middelberg,0,männlich,857718,/abgeordnete/biografien/M/middelberg_mathias-857718,55 - 59 Jahre,"Middelberg, Dr. Mathias",Niedersachsen,CDU/CSU,Rechtsanwalt,<Element p at 0x16e83aac0>
/blueprint/servlet/resource/image/862442/3x4/108/144/d93dd47006aad4c28efd5b45e7d2eb00/34A93332C709F9483100697F48B51033/troff-schaffarzyk_anja.jpg,Anja Troff-Schaffarzyk,0,weiblich,860870,/abgeordnete/biografien/T/troff_schaffarzyk_anja-860870,50 - 54 Jahre,"Troff-Schaffarzyk, Anja",Niedersachsen,SPD,Diplom-Pädagogin,<Element p at 0x16ea582c0>
/blueprint/servlet/resource/image/864530/3x4/108/144/9cc20c26d13a7dc840cc9048fd4efd71/A98854B72D0DBD02F4448F315222C362/moerseburg_maximilian_bild.png,Maximilian Mörseburg,1,männlich,861900,/abgeordnete/biografien/M/moerseburg_maximilian-861900,30 - 34 Jahre,"Mörseburg, Maximilian",Baden-Württemberg,CDU/CSU,Rechtsanwalt,<Element p at 0x170b002c0>
/blueprint/servlet/resource/image/869682/3x4/108/144/661d7314a002db7e1ea3ffe34a43af8a/51C460A0884F5E1B627B00BFDDC2F78D/tuerk_nachbaur_derya_bild.jpg,Derya Türk-Nachbaur,0,weiblich,860206,/abgeordnete/biografien/T/tuerk_nachbaur_derya-860206,50 - 54 Jahre,"Türk-Nachbaur, Derya",Baden-Württemberg,SPD,pädagogische Fachkraft,<Element p at 0x16ed43cc0>
/blueprint/servlet/resource/image/864506/3x4/108/144/c7cc470321d170383050d0f2634e3fee/58403AAD54FD4C6ED8201F902C4264E2/Monstadt_Dietrich_gross.jpg,Dietrich Monstadt,0,männlich,857762,/abgeordnete/biografien/M/monstadt_dietrich-857762,65 - 69 Jahre,"Monstadt, Dietrich",Mecklenburg-Vorpommern,CDU/CSU,Rechtsanwalt,<Element p at 0x16e8304c0>
