date;title;vote
23.11.2018;Entschließungsantrag FDP zu Haushaltsgesetz 2019;Nein
23.11.2018;Haushaltsgesetz 2019;Ja
23.11.2018;Änderungsantrag FDP zu Haushaltsgesetz 2019 - Einzelplan 60;Nein
21.11.2018;Beschlussempfehlungen zu Haushaltsgesetz 2019 - Einzelplan 04;Ja
08.11.2018;Umsatzsteuerausfälle - Änderungsantrag der Fraktion der FDP;Nein
08.11.2018;Umsatzsteuerausfälle - Änderungsantrag der Fraktion der FDP;Nein
08.11.2018;Familienentlastungsgesetz - Änderungsantrag der Fraktion der FDP;Nein
08.11.2018;Familienentlastungsgesetz - Änderungsantrag der Fraktion der AfD;Nein
08.11.2018;Zwei-Prozent-Rüstungsziel der NATO;Nicht abg.
                                                    
08.11.2018;Gesetzliche Rentenversicherung;Nicht abg.
                                                    
19.10.2018;Jahresmittelgrenzwert für Stickoxid;Nicht abg.
                                                    
19.10.2018;Menschenrecht auf Religionsfreiheit - Beschlussempfehlung zu Antrag AfD;Nicht abg.
                                                    
19.10.2018;Menschenrecht auf Religionsfreiheit - Antrag Bündnis 90/Die Grünen;Nicht abg.
                                                    
19.10.2018;Menschenrecht auf Religionsfreiheit - Antrag CDU/CSU und SPD;Nicht abg.
                                                    
18.10.2018;Kindergeld für im Ausland lebende Kinder ;Nicht abg.
                                                    
18.10.2018;Bundeswehreinsatz zur Bekämpfung des IS-Terrors (Antrag der Bundesregierung);Nicht abg.
                                                    
18.10.2018;Bundeswehreinsatz zur Bekämpfung des IS-Terrors (Beschlussempfehlung zum Antrag der AfD-Fraktion);Nicht abg.
                                                    
18.10.2018;Brückenteilzeit - Änderungsantrag Bündnis 90/Die Grünen;Nicht abg.
                                                    
18.10.2018;Änderung des Asylgesetzes - Gesetzentwurf FDP;Nein
18.10.2018;Änderung des Asylgesetzes - Änderungsantrag FDP;Nein
05.07.2018;Haushaltsgesetz 2018;Ja
04.07.2018;Geschäftsbereich des Bundesministeriums der Verteidigung (Änderungsantrag Die Linke);Nein
04.07.2018;Geschäftsbereich des Bundesministeriums der Verteidigung (Änderungsantrag FDP);Nicht abg.
                                                    
04.07.2018;Geschäftsbereich der Bundeskanzlerin und des Bundeskanzleramtes;Ja
29.06.2018;Finanzhilfen zugunsten Griechenlands;Ja
28.06.2018;Bundesweit abgestimmtes Wolfsmanagement;Nicht abg.
                                                    
28.06.2018;Sanktionen bei Hartz IV und Sozialhilfe (Antrag der Fraktion Bündnis 90/Die Grünen);Ja
28.06.2018;Sanktionen bei Hartz IV und Sozialhilfe (Antrag der Fraktion Die Linke);Ja
15.06.2018;Familiennachzug zu subsidiär Schutzberechtigten (Entschließungsantrag der FDP-Fraktion);Nein
15.06.2018;Familiennachzug zu subsidiär Schutzberechtigten (Entschließungsantrag der AfD-Fraktion);Nein
15.06.2018;Familiennachzug zu subsidiär Schutzberechtigten (Gesetzentwurf der Bundesregierung);Ja
15.06.2018;Änderung des Parteiengesetzes;Ja
14.06.2018;Bundeswehreinsatz in Kosovo (KFOR);Ja
14.06.2018;Bundeswehreinsatz im Libanon (UNIFIL);Ja
14.06.2018;Bundeswehreinsatz im Mittelmeer (EUNAVFOR MED);Nicht abg.
                                                    
14.06.2018;Handelsabkommen mit Kanada und Japan;Nein
07.06.2018;Mietpreispolitik;Nicht abg.
                                                    
17.05.2018;Einspruch gemäß § 39 GO-BT;Nein
26.04.2018;Ausschluss der NPD von der Parteienfinanzierung;Ja
26.04.2018;Bundeswehreinsatz in Mali (EUTM Mali);Ja
26.04.2018;Bundeswehreinsatz vor Somalia (EU NAVFOR);Ja
26.04.2018;Bundeswehreinsatz in Mali (MINUSMA);Ja
22.03.2018;Bundeswehreinsatz in Darfur (UNAMID);Ja
22.03.2018;Bundeswehreinsatz in Südsudan (UNMISS);Ja
22.03.2018;Bundeswehreinsatz im Mittelmeer (SEA GUARDIAN);Ja
22.03.2018;Bundeswehreinsatz in Afghanistan (Resolute Support);Ja
22.03.2018;Bundeswehreinsatz zur Stabilisierung Iraks;Ja
16.03.2018;Einführung umfassender Grenzkontrollen;Ja
22.02.2018;Verhalten der Bundesregierung im Fall Deniz Yücel;Nein
01.02.2018;Familiennachzug, Fraktionen Bündnis 90/Die Grünen und Die Linke.;Nein
01.02.2018;Familiennachzug, Fraktion AfD;Nein
01.02.2018;Familiennachzug, Fraktion CDU/CSU;Ja
13.12.2017;Anpassungsverfahren § 11 des Abgeordnetengesetzes;Nicht abg.
                                                    
13.12.2017;Bundeswehreinsatz in Südsudan (UNMISS);Nicht abg.
                                                    
13.12.2017;Bundeswehreinsatz in Darfur (UNAMID);Ja
12.12.2017;Bundeswehreinsatz in Mali (MINUSMA);Ja
12.12.2017;Bundeswehreinsatz in Afghanistan (Resolute Support);Ja
12.12.2017;Bundeswehreinsatz im Irak;Ja
12.12.2017;Bundeswehreinsatz gegen die Terrororganisation IS;Ja
12.12.2017;Bundeswehreinsatz im Mittelmeer (SEA GUARDIAN);Ja
30.06.2017;Eheschließung für Personen gleichen Geschlechts;Nein
29.06.2017;Bundeswehreinsatz "United Nations Interim Force in Lebanon" (UNIFIL);Nicht abg.
                                                    
29.06.2017;Bundeswehreinsatz EUNAVFOR MED Operation SOPHIA;Ja
23.06.2017;Abschaffung der sachgrundlosen Befristung;Nein
22.06.2017;Bundeswehreinsatz in Kosovo (KFOR);Nicht abg.
                                                    
22.06.2017;Änderung von Artikel 21 des Grundgesetzes (Parteienfinanzierung);Nicht abg.
                                                    
21.06.2017;Antrag zur Verlegung des Bundeswehrkontingents von Incirlik nach Al Azraq;Ja
21.06.2017;Beschlussempfehlung zum Abzug der Bundeswehr aus Incirlik;Ja
01.06.2017;Neue Lagebeurteilung für Afghanistan, Antrag CDU/CSU, SPD;Ja
01.06.2017;Sofortiger Abschiebestopp nach Afghanistan, Antrag Die Linke.;Nein
01.06.2017;Abschiebung nach Afghanistan, Beschlussempfehlung zum Antrag Bündnis 90/Die Grünen;Ja
01.06.2017;Abschluss der Rentenüberleitung;Ja
01.06.2017;Änderungsantrag der Fraktion Die Linke zur Neuregelung des bundesstaatlichen Finanzausgleichssystems;Nicht abg.
                                                    
01.06.2017;Entwurf eines Gesetzes zur Änderung des Grundgesetzes (Artikel 90, 91c, 104b, 104c, 107, 108, 109a, 114, 125c, 143d, 143e, 143f, 143g);Ja
01.06.2017;Artikel 1 Nummer 11 des Gesetzentwurfs in der Ausschussfassung betrifft Artikel 143e Grundgesetz;Ja
01.06.2017;Artikel 1 Nummer 9 des Gesetzentwurfs in der Ausschussfassung betrifft Artikel 125c Grundgesetz;Ja
01.06.2017;Artikel 1 Nummer 5 des Gesetzentwurfs in der Ausschussfassung betrifft Artikel 107 Grundgesetz;Ja
01.06.2017; Artikel 1 Nummer 1 des Gesetzentwurfs in der Ausschussfassung betrifft Artikel 90 Grundgesetz;Ja
01.06.2017;Änderung von Artikel 91 b und Artikel 104c des Grundgesetzes;Nein
01.06.2017;Änderung von Artikel 90 und Artikel 143e des Grundgesetzes;Nein
01.06.2017;Änderung von Artikel 90 des Grundgesetzes;Nein
18.05.2017;Bundeswehreinsatz EU NAFVOR Operation Atalanta;Nicht abg.
                                                    
18.05.2017;Bundeswehreinsatz EUTM Mali;Nicht abg.
                                                    
30.03.2017;Bundeswehreinsatz EUTM Somalia;Ja
30.03.2017;Transparenz von Entgeltstrukturen 2;Nein
30.03.2017;Transparenz von Entgeltstrukturen;Nein
24.03.2017;Änderung des Zweiten Verkehrsteueränderungsgesetzes;Ja
24.03.2017;Erstes Gesetz zur Änderung des Infrastrukturabgabengesetzes;Ja
09.03.2017;Gesetzentwurf Dämpfung des Mietanstiegs (Streichung Rügepflicht / Schaffung Auskunftsrecht);Nein
09.03.2017;Gesetzentwurf Dämpfung des Mietanstiegs (umfassende Modernisierungen);Nein
09.03.2017;Beschlussempfehlung zu ;Ja
09.03.2017;Entschließungsantrag zum Europäischen Rat;Nicht abg.
                                                    
26.01.2017;Ausbildungsunterstützung der Bundeswehr im Irak;Ja
26.01.2017;Bundeswehreinsatz in Mali (MINUSMA);Nicht abg.
                                                    
19.01.2017;Dragoner-Areal dem Land Berlin zum Kauf anbieten;Nicht abg.
                                                    
19.01.2017;Rentenansprüche aus DDR-Beschäftigungszeiten (Krankenschwestern);Nicht abg.
                                                    
19.01.2017;Rentenansprüche aus DDR-Beschäftigungszeiten (Bergleute);Nicht abg.
                                                    
15.12.2016;Bekämpfung der Schwarzarbeit;Ja
15.12.2016;Beschlussempfehlung Bundeswehreinsatz in Afghanistan;Ja
15.12.2016;Beschlussempfehlung Bundeswehreinsatz in Darfur (UNAMID);Ja
15.12.2016;Beschlussempfehlung zu Bundeswehreinsatz in Südsudan (UNMISS);Ja
15.12.2016; Verantwortung in der kerntechnischen Entsorgung ;Nicht abg.
                                                    
01.12.2016;Seefischereigesetz;Nicht abg.
                                                    
01.12.2016;Ermittlung von Regelbedarfen;Ja
25.11.2016;Haushaltsgesetz 2017;Ja
23.11.2016;Beschlussempfehlung zum Etat der Bundeskanzlerin und des Bundeskanzleramtes;Ja
11.11.2016;Gesetzentwurf zur 4. Änderung arzneimittelrechtlicher und anderer Vorschriften;Ja
10.11.2016;Bundeswehreinsatz gegen die Terrororganisation IS;Ja
10.11.2016;Beschlussempfehlung zu Brennelementesteuer;Ja
09.11.2016;Änderungsantrag der Abgeordneten Dr. Georg Nüßlein, Dr. Karl Lauterbach, Maria Michalk, Hermann Gröhe, Ingrid Fischbach, Annette Widmann-Mauz und Rudolf Henke zur 4. Änderung arzneimittelrechtlicher und anderer Vorschriften;Ja
09.11.2016;Änderungsantrag der Abgeordneten Hilde Mattheis und Sabine Dittmar zur 4. Änderung arzneimittelrechtlicher und anderer Vorschriften;Nein
09.11.2016;Änderungsantrag der Abgeordneten Uwe Schummer, Ulla Schmidt, Kathrin Vogler, Kordula Schulz-Asche, weiterer Abgeordneter aller Fraktionen zur 4. Änderung arzneimittelrechtlicher und anderer Vorschriften;Nein
29.09.2016;Bundeswehreinsatz SEA GUARDIAN im Mittelmeer ;Ja
29.09.2016;Privatisierung von Bundesliegenschaften stoppen;Ja
29.09.2016;Mieterinnen und Mieter besser schützen;Ja
22.09.2016;CETA, Antrag Bündnis 90/Die Grünen 18/9621;Nein
22.09.2016;CETA, Antrag CDU/CSU, SPD 18/9663;Ja
22.09.2016;CETA, Antrag Die Linke 18/9665;Nein
08.07.2016;Erneuerbare-Energie-Gesetz;Ja
07.07.2016;Bundeswehreinsatz EUNAVFOR MED Operation SOPHIA;Ja
07.07.2016;Schutz der sexuellen Selbstbestimmung: Artikel 2 Absatz 3;Nicht abg.
                                                    
07.07.2016;Schutz der sexuellen Selbstbestimmung: Artikel 1 Nummer 9 - Einfügung von § 184j Strafgesetzbuch;Nicht abg.
                                                    
07.07.2016;Schutz der sexuellen Selbstbestimmung: Artikel 1 Nummern 6 bis 8, 10 und 11;Nicht abg.
                                                    
24.06.2016;Fracking;Ja
24.06.2016;Anpassung des Erbschaftssteuer- und Schenkungssteuergesetzes;Ja
23.06.2016;Änderung des SGB II - Rechtsvereinfachung;Nein
23.06.2016;Bundeswehreinsatz im Libanon (UNIFIL);Ja
23.06.2016;Bundeswehreinsatz in Kosovo (KFOR);Ja
13.05.2016;Einstufung von Algerien, Marokko und Tunesien;Ja
12.05.2016;Bundeswehreinsatz vor Somalia (EU NAVFOR Atalanta);Nicht abg.
                                                    
12.05.2016;Bundeswehreinsatz in Mali (EUTM Mali);Nicht abg.
                                                    
12.05.2016;Bahnstreckenstilllegungen - Beschlussempfehlung;Ja
12.05.2016;Behindertengleichstellungsrecht - Entschließungsantrag;Nein
12.05.2016;Behindertengleichstellungsrecht - Änderungsantrag;Nein
28.04.2016;Verbot von Fracking in Deutschland;Nicht abg.
                                                    
28.04.2016;Änderung des Bundesberggesetzes zur Untersagung der Fracking-Technik;Nicht abg.
                                                    
14.04.2016;Bekämpfung von Korruption im Gesundheitswesen;Ja
17.03.2016;Ausbildungs- und Beratungsmissionen EUTM Somalia;Nicht abg.
                                                    
16.03.2016;Regierungserklärung zum Europäischen Rat am 17./18. März 2016 - Entschließungsantrag;Nein
25.02.2016;Voreilige Neuzulassung von Glyphosat stoppen;Nein
25.02.2016;Einführung beschleunigter Asylverfahren - Gesetzentwurf;Ja
25.02.2016;Einführung beschleunigter Asylverfahren hier: Artikel 2 Nummer 4;Ja
18.02.2016;Rüstungsexportkontrollgesetz;Nein
17.02.2016;Regierungserklärung zum Europäischen Rat - Entschließungsantrag;Nein
28.01.2016;Bundeswehreinsatz Kurdistan-Irak;Nicht abg.
                                                    
28.01.2016;Bundeswehreinsatz in Mali;Nicht abg.
                                                    
17.12.2015;Bundeswehreinsatz im Mittelmeer (Operation ACTIVE ENDEAVOUR);Ja
17.12.2015;Bundeswehreinsatz in Afghanistan (Resolute Support);Ja
04.12.2015;Entschließungsantrag der Fraktion Die Linke: Bundeswehreinsatz gegen Terrororganisation IS;Nein
04.12.2015;Bundeswehreinsatz gegen Terrororganisation IS;Ja
03.12.2015;Umsetzung des Aktionsprogramms Klimaschutz 2020;Nein
27.11.2015;Haushaltsgesetz 2016;Ja
27.11.2015;Etat Verkehr und digitale Infrastruktur;Nein
25.11.2015;Etat Bundeskanzlerin und Bundeskanzleramt;Ja
12.11.2015;Bundeswehreinsatz in Darfur (UNAMID);Ja
12.11.2015;Bundeswehreinsatz in Südsudan (UNMISS);Ja
06.11.2015;Strafbarkeit der geschäftsmäßigen Förderung der Selbsttötung;Ja
06.11.2015;Anwendung des Stimmzettelverfahrens;Ja
05.11.2015;Änderung agrarmarktrechtlicher Bestimmungen;Ja
05.11.2015;Betreuungsgeld für den Kitaausbau nutzen;Ja
16.10.2015;Einführung einer Speicherpflicht und einer Höchstspeicherfrist für Verkehrsdaten;Ja
15.10.2015;Asylverfahrensbeschleunigungsgesetz;Ja
15.10.2015;Asylverfahrensbeschleunigungsgesetz, hier: Artikel 8 und Artikel 12;Ja
15.10.2015;Asylverfahrensbeschleunigungsgesetz, hier: Artikel 2;Ja
15.10.2015;Asylverfahrensbeschleunigungsgesetz, hier: Artikel 1 Nummer 35;Ja
15.10.2015;Asylverfahrensbeschleunigungsgesetz, hier: Artikel 1 Nummer 15, 16 und 19;Ja
02.10.2015;Renten in Ostdeutschland;Ja
01.10.2015;Sanktionen bei Hartz IV und Sozialhilfe, Antrag Bündnis 90/Die Grünen;Ja
01.10.2015;Sanktionen bei Hartz IV und Sozialhilfe, Antrag Die Linke;Ja
01.10.2015;Bundeswehreinsatz EU-Operation EUNAVFORMED;Ja
19.08.2015;Stabilitätshilfe zugunsten Griechenlands;Ja
17.07.2015;Stabilitätshilfe zugunsten Griechenlands, Entschließungsantrag der Fraktion BÜNDNIS 90/DIE GRÜNEN ;Nein
17.07.2015;Verwendung der SMP-Mittel 2014 zur Absicherung einer Brückenfinanzierung, Antrag der Fraktion BÜNDNIS 90/DIE GRÜNEN ;Nein
17.07.2015;Stabilitätshilfe zugunsten Griechenlands;Ja
02.07.2015;Subventionen für britisches Atomwerk Hinkley Point C stoppen, Beschlussempfehlung zum Antrag Bündnis 90/Die Grünen;Ja
02.07.2015;Subventionen für Atomkraftwerke in der EU, Beschlussempfehlung zum Antrag Die Linke;Ja
02.07.2015;Bleiberecht und Aufenthaltsbeendigung, Entschließungsantrag Die Linke;Nein
02.07.2015;Bleiberecht und Aufenthaltsbeendigung, 3. Änderungsantrag Bündnis 90/Die Grünen;Nein
02.07.2015; Bleiberecht und Aufenthaltsbeendigung, 2. Änderungsantrag Bündnis 90/Die Grünen;Nein
02.07.2015;Bleiberecht und Aufenthaltsbeendigung, Änderungsantrag Bündnis 90/Die Grünen;Nein
19.06.2015;Bundeswehreinsatz in Libanon (UNIFIL);Ja
19.06.2015;Bundeswehreinsatz in Mali (MINUSMA);Ja
19.06.2015;Bundeswehreinsatz in Kosovo (KFOR);Ja
18.06.2015;Grundfreibetrag, Kinderfreibetrag, -geld, -zuschlag;Nein
22.05.2015;Gesetz zur Tarifeinheit;Ja
21.05.2015;Bundeswehreinsatz UNMIL in Liberia;Ja
21.05.2015;Bundeswehreinsatz Operation Atalanta;Ja
27.03.2015;Liegenschaftspolitik des Bundes, Beschlussempfehlung des Haushaltsausschusses;Nicht abg.
                                                    
27.03.2015;Liegenschaftspolitik des Bundes, Gesetzentwurf Die Linke;Nicht abg.
                                                    
27.03.2015;Pkw-Maut, Zweites Verkehrsteueränderungsgesetz;Ja
27.03.2015;Pkw-Maut, Änderungsantrag Bündnis 90/Die Grünen;Nein
27.03.2015;Pkw-Maut;Ja
27.03.2015;Pkw-Maut, Änderungsantrag Bündnis 90/Die Grünen;Nein
27.03.2015;Pkw-Maut, Änderungsantrag Bündnis 90/Die Grünen;Nein
26.03.2015;Nachhaltige Waldbewirtschaftung;Ja
26.03.2015;Bundeswehreinsatz in Somalia (EUTM);Ja
05.03.2015;Dämpfung des Mietanstiegs, 2. Änderungsantrag Bündnis 90/Die Grünen;Nicht abg.
                                                    
05.03.2015;Dämpfung des Mietanstiegs, 1. Änderungsantrag Bündnis 90/Die Grünen;Nicht abg.
                                                    
27.02.2015;Finanzhilfen zugunsten Griechenlands;Ja
26.02.2015;Bundeswehreinsatz in Mali (EUTM Mali);Nicht abg.
                                                    
29.01.2015;Bundeswehreinsatz Operation Active Fence (Türkei);Ja
29.01.2015;Ausbildungsunterstützungeinsatz Kurdistan-Irak ;Ja
18.12.2014;Änderung des Bundesdatenschutzgesetzes;Nicht abg.
                                                    
18.12.2014;Änderung des Bundesdatenschutzgesetzes, Änderungsantrag;Nicht abg.
                                                    
18.12.2014;Bundeswehreinsatz ACTIVE ENDEAVOUR (OAE);Ja
18.12.2014;Bundeswehreinsatz in Afghanistan;Ja
28.11.2014;Haushaltsgesetz 2015, Entschließungsantrag Bündnis 90/Die Grünen;Nein
28.11.2014;Haushaltsgesetz 2015;Ja
26.11.2014;Feststellung des Bundeshaushaltsplans für das Haushaltsjahr 2015 (Einzelplan 04 - Bundeskanzlerin und Bundeskanzleramt);Ja
13.11.2014;Bundeswehreinsatz in Dafur (UNAMID);Nicht abg.
                                                    
13.11.2014;Bundeswehreinsatz in Südsudan (UNMISS) ;Nicht abg.
                                                    
13.11.2014;Änderung des Bundesausbildungsförderungsgesetzes;Ja
13.11.2014;Änderung des Bundesausbildungsförderungsgesetzes, 2. Änderungsantrag Bündnis 90/Die Grünen;Nein
13.11.2014;Änderung des Bundesausbildungsförderungsgesetzes, 1. Änderungsantrag Bündnis 90/Die Grünen;Nein
13.11.2014;Änderung des Bundesausbildungsförderungsgesetzes, 2. Änderungsantrag Die Linke;Nein
13.11.2014;Änderung des Bundesausbildungsförderungsgesetzes, 1. Änderungsantrag Die Linke;Nein
13.11.2014;Bund-Länder-Wissenschaftskooperation;Ja
13.11.2014;Bund-Länder-Wissenschaftskooperation, Änderungsantrag Bündnis 90/Die Grünen;Nein
13.11.2014;Bund-Länder-Wissenschaftskooperation, Änderungsantrag Die Linke;Nein
17.10.2014;Pflegeversicherung, Entschließungsantrag Bündnis 90/Die Grünen;Nein
17.10.2014;Pflegeversicherung, Entschließungsantrag Die Linke;Nein
17.10.2014;Pflegeversicherung, Änderungsantrag Bündnis 90/Die Grünen;Nein
17.10.2014;Pflegeversicherung, Änderungsantrag Die Linke;Nein
16.10.2014;Entschließungsantrag zu der Regierungserklärung durch die Bundeskanzlerin;Nein
25.09.2014;Freihandelsabkommen der EU mit USA und Kanada;Nicht abg.
                                                    
25.09.2014;Freihandelsabkommen der EU mit USA und Kanada, 2. Entschließungsantrag;Nicht abg.
                                                    
25.09.2014;Freihandelsabkommen der EU mit USA und Kanada, 1. Entschließungsantrag;Nicht abg.
                                                    
04.07.2014;Lebensversicherungsreformgesetz;Ja
03.07.2014;Angleichung der Renten in Ostdeutschland an das Westniveau;Ja
03.07.2014;Aufhebung der Optionsregelung im Staatsangehörigkeitsrecht;Nein
03.07.2014;Änderung des Staatsangehörigkeitsgesetzes;Ja
03.07.2014;Befristung von Arbeitsverhältnissen;Nein
03.07.2014;Einführung eines Mindestlohnes;Ja
03.07.2014;Einführung eines Mindestlohnes - Änderungsantrag;Nein
27.06.2014;Haushaltsgesetz 2014;Nicht abg.
                                                    
27.06.2014;Reform des Erneuerbare-Energien-Gesetzes;Ja
27.06.2014;Mindestabstände zwischen Windenergieanlagen / Entschließungsantrag Die Linke;Nein
27.06.2014;Einführung einer Länderöffnungsklausel;Ja
27.06.2014;Reform des Erneuerbare-Energien-Gesetzes / Entschließungsantrag Die Linke;Nein
27.06.2014;Reform des Erneuerbare-Energien-Gesetzes / Änderungsantrag Die Linke;Nein
27.06.2014;Reform des Erneuerbare-Energien-Gesetzes / Änderungsantrag Die Linke;Nein
25.06.2014;Feststellung des Bundeshaushaltsplans hier: Wirtschaftliche Zusammenarbeit und Entwicklung;Nein
25.06.2014;Bundeswehreinsatz in Libanon (UNIFIL);Ja
25.06.2014;Bundeswehreinsatz in Mali (MINUSMA);Ja
25.06.2014;Feststellung des Bundeshaushaltsplans hier: Bundeskanzlerin und Bundeskanzleramt;Ja
05.06.2014;Bundeswehreinsatz im Kosovo (KFOR);Ja
23.05.2014;RV-Leistungsverbesserungsgesetz;Ja
23.05.2014;RV-Leistungsverbesserungsgesetz / 3. Änderungsantrag;Nein
23.05.2014;RV-Leistungsverbesserungsgesetz / 2. Änderungsantrag;Nein
23.05.2014;RV-Leistungsverbesserungsgesetz / 1. Änderungsantrag;Nein
22.05.2014;Gentechnikfreiheit im Pflanzenbau;Nicht abg.
                                                    
22.05.2014;Gentechnikfreiheit im Pflanzenbau;Nicht abg.
                                                    
22.05.2014;Sukzessivadoption durch Lebenspartner;Nicht abg.
                                                    
22.05.2014;EU-Operation Atalanta;Nicht abg.
                                                    
08.05.2014;Transparenz bei Rüstungsexportentscheidungen;Nein
08.05.2014;Arbeitnehmer-Entsendegesetz (Fleischwirtschaft);Ja
08.05.2014;Kooperationen bei Nutzung atomarer Technologien;Nein
10.04.2014;Bundeswehreinsatz in der Zentralafrikanischen Republik (EUFOR RCA);Ja
09.04.2014;Beteiligung bewaffneter deutscher Streitkräfte am maritimen Begleitschutz;Ja
03.04.2014;Minderheitenrechte in der 18. Wahlperiode;Nicht abg.
                                                    
03.04.2014;Minderheitenrechte in der 18. Wahlperiode;Nicht abg.
                                                    
03.04.2014;Bundeswehreinsatz EUTM Somalia;Nicht abg.
                                                    
13.03.2014;EU-Honigrichtlinie (Kennzeichnung von Gen-Honig);Ja
21.02.2014;Erweiterung des Straftatbestandes der Abgeordnetenbestechung;Ja
21.02.2014;Änderung des Abgeordnetengesetzes;Ja
20.02.2014;Militärische Ausbildungsmission in Mali;Ja
20.02.2014;Bundeswehreinsatz in Afghanistan (ISAF);Ja
30.01.2014;Gentechnisch veränderte Maislinie 1507 für den Anbau in der EU;Nicht abg.
                                                    
29.01.2014;Bundeswehreinsatz OAE;Ja
29.01.2014;Bundeswehreinsatz OAF (Türkei);Ja
28.11.2013;Bundeswehreinsatz in Darfur;Nicht abg.
                                                    
28.11.2013;Bundeswehreinsatz in Südsudan;Nicht abg.
                                                    
28.06.2013;Änderung des Betreuungsgeldgesetzes;Nein
27.06.2013;2. Änderungsantrag von Bündnis 90/Die Grünen zum Einkommensteuergesetz;Nein
27.06.2013;1. Änderungsantrag von Bündnis 90/Die Grünen zum Einkommensteuergesetz;Nein
27.06.2013;Änderungsantrag von Die Linke zum Einkommensteuergesetz;Nein
27.06.2013;Änderungsantrag der SPD zum Einkommensteuergesetz;Nein
27.06.2013;Bundeswehreinsatz in Mali;Ja
27.06.2013;Erhebung einer Vermögensabgabe;Nein
27.06.2013;Bundeswehreinsatz im Libanon;Ja
27.06.2013;Änderungsantrag von Bündnis 90/Die Grünen zu dem Gesetzentwurf gegen unseriöse Geschäftspraktiken;Nein
27.06.2013;Änderungsantrag der SPD zu dem Gesetzentwurf gegen unseriöse Geschäftspraktiken;Nein
14.06.2013;Umsetzung der Verbraucherrechterichtlinie;Nein
13.06.2013;Aufsicht über Kreditinstitute;Nein
13.06.2013;Bundeswehreinsatz in Kosovo (KFOR);Ja
07.06.2013;Arzneimittelversorgung;Nicht abg.
                                                    
06.06.2013;Bezahlbares Wohnen in der sozialen Stadt;Nicht abg.
                                                    
05.06.2013;Streichung des Optionszwangs aus dem Staatsangehörigkeitsrecht;Nicht abg.
                                                    
16.05.2013;EU-Operation Atalanta;Ja
16.05.2013;Abfälle der Rhein- und Binnenschifffahrt;Ja
16.05.2013;Beitritt der Republik Kroatien zur EU;Ja
25.04.2013;Rechtsextremismus entschlossen bekämpfen;Ja
25.04.2013;Einleitung eines NPD-Verbotsverfahrens;Nein
18.04.2013;Quote in Führungsgremien;Nein
18.04.2013;Verlängerung der maximalen durchschnittlichen Laufzeit des EFSF-Darlehens an Portugal;Ja
18.04.2013;Verlängerung der maximalen durchschnittlichen Laufzeit des EFSF-Darlehens an Irland;Ja
18.04.2013;Finanzhilfe für Zypern;Ja
18.04.2013;Finanzhilfe für Zypern;Ja
15.03.2013;Europäische und globale Atomenergiepolitik ;Ja
01.03.2013;Kindererziehung in der Rente besser berücksichtigen;Ja
01.03.2013;Rente erst ab 67 sofort vollständig zurücknehmen;Ja
01.03.2013;Urheberrechtsgesetz (Leistungsschutzrecht);Ja
28.02.2013;Wasser als Menschenrecht;Nein
28.02.2013;Keine Privatisierung der Wasserversorgung;Nein
28.02.2013;Holzhandel-Sicherungs-Gesetz;Ja
28.02.2013;Bundeswehreinsatz in Mali;Ja
28.02.2013;Militärische Ausbildungsmission in Mali;Ja
31.01.2013;Bundeswehreinsatz in Afghanistan (ISAF);Ja
17.01.2013;Jahressteuergesetz 2013;Nein
14.12.2012;Bundeswehreinsatz in der Türkei;Ja
13.12.2012;Änderung des Tierschutzgesetzes, Entschließungsantrag;Nein
13.12.2012; Änderung des Tierschutzgesetzes, Änderungsantrag;Nein
13.12.2012;Bundeswehreinsatz Operation Active Endeavour;Ja
13.12.2012;Ergebnisse der Gutachten zu Umweltauswirkungen von Fracking zügig umsetzen;Nein
13.12.2012;Moratorium für die Fracking-Technologie in Deutschland;Ja
13.12.2012;Mietrechtsänderungsgesetz;Ja
12.12.2012;Beschneidung, Gesetzentwurf der Bundesregierung;Ja
12.12.2012;Beschneidung, Änderungsantrag der Gruppe Dr. Carola Reimann;Nein
12.12.2012;Beschneidung, Änderungsantrag der Gruppe Jerzy Montag;Nein
12.12.2012;Beschneidung, Änderungsantrag der Gruppe Burkhard Lischka;Nein
12.12.2012;Beschneidung, Gesetzentwurf der Gruppe Marlene Rupprecht;Nein
30.11.2012;Finanzhilfen für Griechenland;Ja
29.11.2012;Asylbewerberleistungsrecht;Nein
29.11.2012;Patientenrechte;Nein
23.11.2012;Haushaltsgesetz 2013;Ja
22.11.2012;Änderungsantrag zum Haushalt 2013 (Familie);Nein
21.11.2012;Änderungsantrag zum  Haushalt 2013 (wirtschaftliche Zusammenarbeit und Entwicklung);Nein
21.11.2012;Haushalt 2013 (Kanzleramt);Nicht abg.
                                                    
09.11.2012;Assistenzpflegebedarf und Praxisgebühr;Nicht abg.
                                                    
09.11.2012;Betreuungsgeld;Ja
08.11.2012;Bundeswehreinsatz in Südsudan (UNMISS);Ja
08.11.2012;Transparenz bei Nebeneinkünften;Nein
08.11.2012;Bundeswehreinsatz in Dafur (UNAMID);Ja
25.10.2012;Änderungsantrag von Bündnis 90/Die Grünen zum Jahressteuergesetz 2013;Nein
25.10.2012;Änderungsantrag der SPD zum Jahressteuergesetz 2013;Nein
25.10.2012;Stärkung der deutschen Finanzaufsicht;Nein
25.10.2012;Steuerabkommen mit der Schweiz;Ja
25.10.2012;Änderungen im Bereich der geringfügigen Beschäftigung;Ja
