date;title;vote
25.11.2022;Beschlussempfehlung Vermittlungsausschuss - Bürgergeld;Ja
24.11.2022;Änderung des Energiesicherungsgesetzes;Nein
23.11.2022;Haushalt - Geschäftsbereich des Bundeskanzlers und des Bundeskanzleramts;Nicht abg.
                                                    
11.11.2022;Änderung des Atomgesetzes  - 19. AtGÄndG (Beschlussempfehlung);Nicht abg.
                                                    
11.11.2022;Änderung des Atomgesetzes - 19. AtGÄndG (Gesetzentwurf CDU/CSU);Nicht abg.
                                                    
11.11.2022;Änderung des Atomgesetzes  - 19. AtGÄndG (Gesetzentwurf);Nicht abg.
                                                    
10.11.2022;Einsprüche anlässlich der Wahl zum 20. Deutschen Bundestag;Nicht abg.
                                                    
10.11.2022;ERP-Wirtschaftsplangesetz 2023 (Änderungsantrag);Nicht abg.
                                                    
10.11.2022;Änderung des Infektionsschutzgesetzes (2.Beratung);Nicht abg.
                                                    
10.11.2022; Vermögensabgabe für Multimillionäre und Milliardäre;Nicht abg.
                                                    
10.11.2022;Inflationsausgleich;Ja
10.11.2022;Bürgergeld-Gesetz (Beschlussempfehlung);Ja
10.11.2022;Bürgergeld-Gesetz (Schlussabstimmung);Nein
10.11.2022;Bürgergeld-Gesetz (Regelbedarfsstufen);Ja
21.10.2022;Einsatz der Bundeswehr im Irak;Ja
21.10.2022;Entschließungsantrag CDU/CSU zu Stabilisierungsfondsgesetz und Wirtschaftsstabilisierungsfond;Ja
21.10.2022;Antrag zu Beschluss gemäß Artikel 115 Absatz  2 Satz 6 und 7 Grundgesetz;Nein
20.10.2022;Bundeszentralregistergesetz;Ja
20.10.2022;GKV-Finanzstabilisierungsgesetz;Nein
13.10.2022;Strom- und Gassperren, Gas- und Strompreisdeckel (Beschlussempfehlung);Ja
30.09.2022;30.09.2022: Fiskalpolitische Disziplin in Europa (Antrag CDU/CSU);Ja
28.09.2022;Entschließungsantrag zur Regierungserklärung vom 22. Juni 2022 (Beschlussempfehlung);Nein
22.09.2022;Änderung des Atomgesetzes (Gesetzentwurf AfD);Nein
22.09.2022;Änderung von Verbrauchsteuergesetzen (Entschließungsantrag);Ja
22.09.2022;Krisengewinne von Energiekonzernen;Ja
08.09.2022;Neufassung des Infektionsschutzgesetzes;Nein
08.07.2022;Bundeswehreinsatz in Bosnien und Herzegowina (EUFOR ALTHEA) (Beschlussempfehlung);Ja
08.07.2022;Bundeswehreinsatz in Kosovo (KFOR) (Beschlussempfehlung);Ja
07.07.2022;Bundeswehrbeschaffungsbeschleunigungsgesetz (Entschließungsantrag CDU/CSU);Ja
07.07.2022;07.07.2022: Bereithaltung von Ersatzkraftwerken (Beschlussempfehlung);Ja
07.07.2022;07.07.2022: Bereithaltung von Ersatzkraftwerken (Änderungsantrag CDU/CSU);Ja
07.07.2022;Bereithaltung von Ersatzkraftwerken (Änderungsantrag CDU/CSU);Ja
07.07.2022;Beschleunigter Ausbau erneuerbarer Energien (Beschlussempfehlung);Nein
07.07.2022;Bundesnaturschutzgesetz (Gesetzentwurf);Nein
07.07.2022;Windenergie an Land (Gesetzentwurf);Nein
07.07.2022;Windenergie auf See (Gesetzentwurf);Ja
07.07.2022;Sofortmaßnahmen für einen beschleunigten Ausbau erneuerbarer Energien (Gesetzentwurf);Nein
23.06.2022;Beteiligung deutscher Streitkräfte an UNIFIL (Beschlussempfehlung);Ja
03.06.2022;Sondervermögen Bundeswehr (Gesetzentwurf );Ja
03.06.2022;Bundeswehrsondervermögensgesetz (Antrag AfD);Nein
03.06.2022;Gesetz zur Änderung des Grundgesetzes (Art. 87a GG);Ja
03.06.2022;Haushaltsgesetz 2022 (3. Beratung);Nein
03.06.2022;Schuldenregel des Grundgesetzes;Nein
03.06.2022;Mindestlohn (Artikel 7 des Gesetzentwurfs der Bundesregierung);Enthalten
01.06.2022;Haushalt Bundeskanzler / Bundeskanzleramt (Beschlussempfehlung);Nein
20.05.2022;Wohneigentumsförderung, Gebäudeeffizienzförderung (Beschlussempfehlung);Nein
20.05.2022;Bundeswehreinsatz im Sahel mit Schwerpunkt Niger (EUTM Mali);Ja
20.05.2022;Bundeswehreinsatz in Mali (MINUSMA) (Beschlussempfehlung);Ja
19.05.2022;Pflegebonusgesetz (Beschlussempfehlung);Ja
19.05.2022;Ukrainehilfe, Nahrungsmittelversorgung weltweit (Beschlussempfehlung);Nein
29.04.2022;Fortsetzung der Beteiligung an EU NAVOR MED IRINI (Beschlussempfehlung);Ja
28.04.2022;Umfassende Unterstützung für die Ukraine (Antrag);Ja
07.04.2022;Impfpflicht gegen SARS-CoV-2 (Antrag der Fraktion der AfD);Nein
07.04.2022;Impfpflicht gegen SARS-CoV-2 (Antrag der Gruppe Kubicki u.a.);Nein
07.04.2022;Impfpflicht gegen SARS-CoV-2 (Antrag der Fraktion der CDU/CSU);Ja
07.04.2022;Impfpflicht gegen SARS-CoV-2 (Gruppe Baehrens/Janecek u.a.);Nein
18.03.2022;Bundeswehreinsatz SEA GUARDIAN im Mittelmeer;Nicht abg.
                                                    
18.03.2022;Bundeswehreinsatz in Südsudan (UNMISS);Nicht abg.
                                                    
18.03.2022;Änderung des Infektionsschutzgesetzes ;Nein
17.03.2022;Energieversorgung (Antrag CDU/CSU);Ja
28.01.2022;Bundeswehreinsatz im Irak (Beschlussempfehlung);Ja
27.01.2022;Zweites Nachtragshaushaltsgesetz 2021;Nein
27.01.2022;Beschluss gemäß Artikel 115 Absatz 2 Satz 6 und 7 Grundgesetz (Antrag);Nein
10.12.2021;Stärkung der Impfprävention gegen COVID-19, Gesetzentwurf SPD, Bündnis 90/Die Grünen und FDP;Nicht abg.
                                                    
10.12.2021;Stärkung der Impfprävention gegen COVID-19, Änderungsantrag Die Linke;Nicht abg.
                                                    
18.11.2021;Änderung des Infektionsschutzgesetzes (Entschließungsantrag CDU/CSU);Ja
18.11.2021;Änderung des Infektionsschutzgesetzes;Nein
07.09.2021;Änderung des Infektionsschutzgesetzes; Einschränkung von Grundrechten;Nicht abg.
                                                    
25.08.2021;Epidemische Lage von nationaler Tragweite;Ja
25.08.2021;Bundeswehreinsatz zur Evakuierung aus Afghanistan;Ja
24.06.2021;Bundeswehreinsatz in Lebanon UNIFIL;Ja
24.06.2021;Beschlussempfehlung: Bundeswehreinsatz in Kosovo KFOR;Ja
24.06.2021;Verwendung geschlechtergerechter Sprache;Nein
24.06.2021;Änderung des Infektionsschutzgesetzes; Einschränkung von Grundrechten;Ja
24.06.2021;Bundesnaturschutzgesetz, Insektenschutz ;Ja
24.06.2021;Klimaschutz;Ja
11.06.2021;Fortbestehen der epidemischen Lage;Ja
11.06.2021;Lieferketten;Ja
10.06.2021; Änderung des Vermögensteuergesetzes (VStG);Nicht abg.
                                                    
10.06.2021;Änderung des Atomgesetzes;Ja
10.06.2021;Anpassung des Verfassungsschutzrechts;Ja
20.05.2021;Einspruch des Abg. Lucassen gegen Ordnungsruf;Nein
19.05.2021;EUTM Mali (Beschlussempfehlung);Ja
19.05.2021;Fremdbestimmte Operationen an trans- und intergeschlechtlichen Menschen (Die Linke);Ja
19.05.2021;Aufhebung des Transsexuellengesetzes und Einführung des Selbstbestimmungsgesetzes (B90/Grüne);Nein
19.05.2021;Geschlechtliche Selbstbestimmung (Gesetzentwurf FDP);Nein
19.05.2021;Mali (MINUSMA) (Beschlussempfehlung);Ja
07.05.2021;Mobilisierung von Bauland;Nein
06.05.2021;Patente für Impfstoffe freigeben (Beschlussempfehlung);Ja
06.05.2021;Ablösung der Staatsleistungen;Nein
06.05.2021;COVID-19-Schutzmaßnahmen- Ausnahmenverordnung;Ja
06.05.2021;Bevölkerungsschutzgesetz – Normenkontrolle;Nein
23.04.2021;Nachtragshaushalt (Beschlussempfehlung);Ja
21.04.2021;Operation EUNAVFOR MED IRINI;Nicht abg.
                                                    
21.04.2021;EU NAVFOR Somalia Operation Atalanta;Nicht abg.
                                                    
21.04.2021;Bevölkerungsschutzgesetz (Gesetzentwurf);Ja
21.04.2021;Bevölkerungsschutzgesetz - Änderungsantrag (19/28760);Nein
21.04.2021;Bevölkerungsschutzgesetz - Änderungsantrag (19/28756);Nein
21.04.2021;Bevölkerungsschutzgesetz - Änderungsantrag (19/28755);Nein
21.04.2021;Bevölkerungsschutzgesetz - Änderungsantrag (19/28753);Nein
21.04.2021;Bevölkerungsschutzgesetz - Änderungsantrag (19/28752);Nein
14.04.2021;Energieversorgung in Deutschland;Ja
26.03.2021;Transparenzregelungen für Abgeordnete;Ja
25.03.2021;Bundeswehreinsatz in Afghanistan;Ja
25.03.2021;BND-Gesetz, Kontrolle der Nachrichtendienste;Nein
25.03.2021;Eigenmittelsystem der EU;Ja
04.03.2021;Epidemische Lage von nationaler Tragweite;Ja
03.03.2021;Bundeswehreinsatz im Mittelmeer (SEA GUARDIAN) - Beschlussempfehlung;Nicht abg.
                                                    
03.03.2021;Bundeswehreinsatz in Südsudan (UNMISS) - Beschlussempfehlung;Nicht abg.
                                                    
25.02.2021;Verein Indymedia verbieten (Beschlussempfehlung);Ja
29.01.2021;Normenkontrolle Bevölkerungsschutzgesetz (Antrag);Nein
28.01.2021;Covid-19-Wahlbewerber-Aufstellungsverordnung (Beschlussempfehlung);Ja
14.01.2021;Bundeswahlgesetz (Antrag zu Feststellung gemäß § 52 Absatz 4 Satz 1);Ja
17.12.2020;Erneuerbare-Energien-Gesetz;Ja
16.12.2020;Arbeitsschutzkontrollgesetz;Ja
11.12.2020;Haushaltsgesetz 2021;Ja
09.12.2020;Geschäftsbereich Bundeskanzlerin und Bundeskanzleramt (Beschlussempfehlung des Haushaltsausschusses);Ja
08.12.2020;Beschluss gemäß Artikel 115 Absatz 2 des Grundgesetzes (Beschlussempfehlung Haushaltsausschuss);Ja
08.12.2020;Antrag 19/24969 der FDP (Beschluss gemäß Artikel 115 Absatz 2 des Grundgesetzes);Nicht abg.
                                                    
26.11.2020;Übereinkommen über ein Europäisches Patentgericht;Ja
26.11.2020;Europäische Bank für nachhaltige Entwicklung  (Beschlussempfehlung);Ja
19.11.2020;Energiesicherheit gewährleisten - Nord Stream 2 unterstützen (Beschlussempfehlung);Ja
18.11.2020;Corona-Maßnahmen (epidemische Lage), Antrag CDU/CSU, SPD;Ja
18.11.2020;Corona-Maßnahmen (epidemische Lage), Gesetzentwurf CDU/CSU, SPD;Ja
18.11.2020;Corona-Maßnahmen (epidemische Lage), Änderungsantrag Bündnis 90/Die Grünen;Nein
18.11.2020;Corona-Maßnahmen (epidemische Lage), Änderungsantrag FDP;Nein
30.10.2020;Einsetzung Untersuchungsausschuss Infektionsschutz;Ja
30.10.2020;Untersuchungsausschuss Infektionsschutz - Abstrakte Normenkontrolle;Nein
29.10.2020;Bundeswehreinsatz im Irak (Beschlussempfehlung);Nicht abg.
                                                    
09.10.2020;Einführungsgesetz zur Abgabenordnung;Nicht abg.
                                                    
09.10.2020;Finanzielle Lasten der Migrationspolitik umfassend offenlegen;Nicht abg.
                                                    
09.10.2020;Bundeswahlgesetz (Wahlversammlungen);Ja
08.10.2020;Bundeswahlgesetz (Größe des Bundestages);Ja
18.09.2020;Konsequenzen aus dem Brand in Moria ziehen - Antrag 19/22279;Nein
18.09.2020;Konsequenzen aus dem Brand in Moria ziehen - Beschlussempfehlung zum Antrag 19/22264;Ja
17.09.2020;Finanzielle Entlastung der Kommunen;Ja
16.09.2020;Mobilität der Zukunft (Beschlussempfehlung);Ja
10.09.2020; Abstrakte Normenkontrolle - Düngeverordnung (Beschlussempfehlung);Nicht abg.
                                                    
03.07.2020;Bundeswahlgesetz (Geschäftsordnungsantrag);Nein
03.07.2020;Kohleausstiegsgesetz (Änderungsantrag 19/20730);Nein
02.07.2020;Corona-Konjunkturpaket (Entschließungsantrag 19/20739);Nein
02.07.2020;Corona-Konjunkturpaket (Beschlussempfehlung 19/20716);Ja
19.06.2020;Verbot der Antifa (Beschlussempfehlung);Ja
18.06.2020;Europäische Arbeitnehmerentsendung;Ja
17.06.2020;Bundeswehreinsatz Libanon (UNIFIL) (Beschlussempfehlung);Nicht abg.
                                                    
17.06.2020;Bundeswehr im Kosovo (KFOR) (Beschlussempfehlung);Nicht abg.
                                                    
29.05.2020;Bundeswehreinsatzes in Mali (MINUSMA) (Beschlussempfehlung);Nicht abg.
                                                    
29.05.2020;Bundeswehreinsatzes EUTM Mali (Beschlussempfehlung);Nicht abg.
                                                    
27.05.2020;Bundeswehreinsatz Operation ATALANTA (Beschlussempfehlung);Ja
14.05.2020;Bereitstellung des ESM-Instruments ECCL Pandemic Crisis Support;Ja
14.05.2020;Schutz der Bevölkerung bei einer epidemischen Lage von nationaler Tragweite;Ja
14.05.2020;Beschlussempfehlung 19/19204 zu Corona-Aufschlag in der Grundsicherung das Existenzminimum sichern;Ja
14.05.2020;Änderungsantrag 19/19221 zu Schutz der Bevölkerung bei einer epidemischen Lage von nationaler Tragweite;Nein
07.05.2020;Bundeswehreinsatz EUNAVFOR MED IRINI;Ja
25.03.2020; Beschluss gemäß Artikel 115 Absatz 2 Satz 6 und 7 GG (Beschlussempfehlung);Ja
13.03.2020;Bundeswehreinsatz SEA GUARDIAN;Ja
13.03.2020;Bundeswehreinsatz in Afghanistan;Ja
04.03.2020;Schutzbedürftige Asylsuchende aus Griechenland (Beschlussempfehlung);Ja
30.01.2020;Antrag der Fraktion der AfD: Schutz von Hinweisgebern auf EU-Ebene;Nein
30.01.2020;Engagement- und Ehrenamts-Check (Antrag);Nein
30.01.2020;Deutsche Stiftung für Engagement und Ehrenamt (Gesetzentwurf);Ja
17.01.2020;Freisetzungsrichtlinie auch für neue Gentechnik (Beschlussempfehlung);Ja
16.01.2020;Entscheidungsbereitschaft bei Organspende (3. Lesung);Ja
16.01.2020;Entscheidungsbereitschaft bei Organspende (2. Lesung);Ja
16.01.2020;Organspende - Doppelte Widerspruchslösung (Lauterbach, Spahn);Ja
